,request.headers.User-Agent,request.headers.Accept-Encoding,request.headers.Accept-Language,request.headers.Sec-Fetch-Site,request.headers.Sec-Fetch-Mode,request.headers.Sec-Fetch-Dest,request.headers.Set-Cookie,request.headers.Date,request.method,request.url,response.status,response.headers.Content-Length,response.status_code,response.body,request.headers.Cookie,response.headers.Location,request.headers.Content-Length,response.headers.Set-Cookie,attack_type,label
0,-0.6324555320336759,0,1,0,0,0,-0.7863336509949341,-0.5773502691896258,0,0.0,0,72,0,0.0,-1.0,-1.0,-1.0,-1.0,Directory Traversal,Malware
1,-0.6324555320336759,0,0,0,0,0,-0.7861461384965021,-0.5773502691896258,0,0.0,4,41,4,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
2,-0.8,0,0,0,0,0,-0.7516460280028289,-0.5773502691896258,0,1.0,0,105,0,0.4364357804719848,-0.4082482904638631,-1.0,-1.0,-1.0,Cookie Injection,Malware
3,-0.5163977794943222,0,1,0,0,0,-0.716001555758157,-0.5773502691896258,0,0.8944271909999159,4,30,4,0.5773502691896258,-1.0,-1.0,-1.0,-1.0,Benign,Benign
4,0.3779644730092272,0,0,0,0,29,-0.6910947404650881,-0.5773502691896258,0,0.0,4,41,4,0.0,-1.0,-1.0,-1.0,-1.0,LOG4J,Malware
5,0.0,0,0,0,1,0,-0.753778361444409,-0.5773502691896258,0,0.4082482904638631,4,207,4,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
6,-0.22360679774997896,0,0,0,0,0,-0.6799001036500849,-0.5773502691896258,0,0.4472135954999579,3,31,3,-0.5773502691896258,-1.0,-1.0,-1.0,-1.0,LOG4J,Malware
7,0.0,0,2,0,1,0,-0.772987951680997,-0.5773502691896258,0,0.8980265101338746,0,20,0,0.7071067811865475,-1.0,-1.0,-1.0,-1.0,RCE,Malware
8,-0.5163977794943222,0,0,0,0,0,-0.5934424260562083,-0.5773502691896258,0,0.0,3,46,3,0.4082482904638631,-1.0,-1.0,-1.0,-1.0,Log Forging,Malware
9,0.0,0,2,0,1,0,-0.7053456158585982,-0.5773502691896258,0,0.8944271909999159,0,385,0,0.19611613513818404,-1.0,-1.0,-1.0,-1.0,Benign,Benign
10,-0.3592106040535498,0,0,0,1,0,-0.7863336509949341,-0.5773502691896258,0,-1.0,4,41,4,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
11,0.0,0,1,0,0,0,-0.6917144638660746,-0.5773502691896258,0,-1.0,4,41,4,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
12,0.5,0,3,0,1,0,-0.6488856845230502,-0.5773502691896258,0,0.0,0,51,0,0.0,-1.0,-1.0,-1.0,-1.0,SQL Injection,Malware
13,0.0,0,0,0,0,0,-0.7373087284671365,-0.5773502691896258,0,0.0,0,291,0,0.0,-1.0,-1.0,-1.0,-1.0,SQL Injection,Malware
14,0.2581988897471611,0,1,0,1,0,-0.7856742013183862,-0.5773502691896258,0,-0.2773500981126146,3,46,3,0.4082482904638631,-1.0,-1.0,-1.0,-1.0,Log Forging,Malware
15,0.0,0,3,0,0,0,-0.7669649888473704,-0.5773502691896258,0,0.0,2,249,2,0.29488391230979427,-1.0,0.0,-1.0,-1.0,Benign,Benign
16,-0.8164965809277261,0,2,0,1,0,-0.5644325210301584,-0.5773502691896258,0,0.0,0,66,0,0.0,-1.0,-1.0,-1.0,-1.0,Directory Traversal,Malware
17,-0.6324555320336759,0,0,0,0,0,-0.6737215368532152,-0.5773502691896258,0,0.5773502691896258,4,36,4,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
18,0.0,0,0,0,1,0,-0.5937322507759797,-0.5773502691896258,0,1.0,0,34,0,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
19,-0.6324555320336759,0,3,0,0,0,-0.5298129428260175,-0.5773502691896258,0,0.8944271909999159,0,940,0,0.3175536744149779,-1.0,-1.0,-1.0,-1.0,Benign,Benign
20,0.23570226039551587,0,3,0,1,0,-0.6304883249912805,-0.5773502691896258,0,0.0,0,359423,0,-0.27654369614185803,-1.0,-1.0,-1.0,-1.0,SQL Injection,Malware
21,0.2581988897471611,0,2,0,0,0,-0.6643638388299198,-0.5773502691896258,0,0.5773502691896258,4,39,4,0.4472135954999579,-1.0,-1.0,-1.0,-1.0,Benign,Benign
22,-0.2581988897471611,0,3,0,1,0,-0.7432941462471664,-0.5773502691896258,1,1.0,1,211,1,0.5897678246195885,-0.7071067811865475,1.0,0.0,0.0,Cookie Injection,Malware
23,0.23570226039551587,0,1,0,0,0,-0.30151134457776363,0.0,1,1.0,1,211,1,0.5897678246195885,0.0,1.0,0.0,0.0,Cookie Injection,Malware
24,0.0,0,3,0,1,0,-0.3563483225498992,0.0,0,0.0,0,4983,0,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
25,-0.47140452079103173,0,1,0,1,0,-0.47140452079103173,0.0,0,-0.30151134457776363,3,46,3,0.4082482904638631,-1.0,-1.0,-1.0,-1.0,Log Forging,Malware
26,0.6324555320336759,0,0,0,1,0,-0.3481553119113957,0.0,0,-0.31622776601683794,0,309,0,0.0,-1.0,-1.0,-1.0,-1.0,SQL Injection,Malware
27,0.23570226039551587,0,3,0,1,0,-0.20628424925175867,0.0,0,1.0,0,34,0,0.0,-1.0,-1.0,-1.0,-1.0,Benign,Benign
28,-0.2581988897471611,0,3,0,1,0,-0.20203050891044214,0.0,0,0.0,0,546,0,0.3273268353539886,-1.0,-1.0,-1.0,-1.0,Benign,Benign
29,-0.2581988897471611,0,0,0,1,0,-0.560448538317805,0.0,0,0.3779644730092272,4,36,4,0.0,-1.0,-1.0,-1.0,-1.0,LOG4J,Malware
